	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Subtype
TCGA-3C-AAAU-01	25.17477565323119	-4.086093174696617	8.362329578686875	-15.8168731306865	-19.03941156124202	-8.798656808749826	6.46981932800228	-5.353450444311025	22.198407221293873	-0.6051059921041438	BRCA_LumA
TCGA-3C-AALI-01	-4.8305968643857495	9.648162127808307	-8.039380177073257	-17.9590404494312	1.9481615404358372	4.648717705676995	26.408552626982672	-15.15267306858671	8.52151091276209	-5.51863483675496	BRCA_Her2
TCGA-3C-AALJ-01	5.820914599300635	-3.201151111843134	-12.751616164304926	-14.356563937733288	-9.495229699141538	-7.772794319330744	10.52423298201659	-3.7611706536291534	-5.3155951107400705	-8.938360909589852	BRCA_LumB
TCGA-3C-AALK-01	8.48905114181353	17.70014706259625	-5.612879489991939	10.501586935794961	1.4185574211579577	0.034810672717446894	9.07627360925721	-6.289233729960191	-0.28708131839805134	9.668439261087435	BRCA_LumA
TCGA-4H-AAAK-01	9.824104373024271	16.03002177384034	4.085536905863386	12.803379334625806	0.06834090933348748	-5.591530598889354	6.833838753909595	7.530223765277069	-10.06155005127269	12.195655703886226	BRCA_LumA
TCGA-5L-AAT0-01	6.220946059339505	20.525062110583455	-10.111201120149111	18.04078437482834	-11.598950947731597	0.6873701047428621	6.470047699950786	3.728382360264029	-2.8903932740704272	7.697432097657841	BRCA_LumA
TCGA-5T-A9QA-01	14.172533970881581	-47.09398671860192	-1.227667807603543	-3.8301758285272083	-15.940220729636787	0.06906374325094379	4.828803158807395	-9.230572793467571	1.742307255425285	-8.24234091065269	BRCA_LumB
TCGA-A1-A0SB-01	-13.355833868446883	-2.174620338891487	48.56238823269215	19.775015089428038	-2.041170712105743	-2.990631985864763	-9.592669939602787	-15.011919877311687	-0.6231611163322888	-2.308489121142592	BRCA_Normal
TCGA-A1-A0SD-01	11.781554718529264	21.025954523514653	4.249645995216205	5.745529375635634	3.5103608540139906	-13.908327380691327	-2.3677744877918205	-4.604494036682437	2.232546596823763	1.154396681279302	BRCA_LumA
TCGA-A1-A0SE-01	11.511024411289608	15.993981490098745	3.923585409913445	17.0394194995068	-2.3300464701315704	-8.697244694961872	-4.996531712688314	-0.9121122121315989	4.475999274672657	10.854291777586996	BRCA_LumA
TCGA-A1-A0SF-01	8.863266599794747	21.45541414720786	-11.87056978753238	12.390612901255729	-6.704172075576411	1.050338639265683	1.7930565206834281	-7.1493524411776805	1.5939698134008733	2.852594534401598	BRCA_LumA
TCGA-A1-A0SG-01	16.84132910085991	4.609519973007779	-3.734853896582514	4.523201499519552	-2.462796033575962	-4.033062948153631	11.826962884057314	6.623255146523705	-5.271618726971864	7.706628963306487	BRCA_LumA
TCGA-A1-A0SH-01	2.7502401107780505	1.5018075921117477	-1.1988050812979083	18.312717620394814	21.689273201143394	-13.522884427913572	-10.529089653363982	2.9425179650593587	-7.323893312162102	14.924202484188207	BRCA_LumA
TCGA-A1-A0SI-01	-3.835405683035869	21.06673716954895	-8.351004198550378	2.3823649070387103	18.59693615939099	5.415961241292518	3.8907256288041974	2.453752812478436	9.178378795966555	3.9384592809590684	BRCA_LumB
TCGA-A1-A0SJ-01	0.41957005120295077	4.842722475740304	-8.731096216503431	8.43523904109239	-4.304738283254613	-24.29734647678796	-5.361882710256762	-7.16968619346362	-0.8189189227788426	6.009533553166373	BRCA_LumA
TCGA-A1-A0SK-01	-19.396791589556262	-14.151237339748477	34.81970621823852	0.5466402433021219	-4.797010551959444	-25.11632650269071	9.15362765402929	-8.795431549138542	16.367200601096812	-6.742724438112726	BRCA_Basal
TCGA-A1-A0SN-01	2.444111594259473	2.87793321370236	-9.667257097706896	-2.5297059935713646	12.06857904123649	-9.989927590414949	4.673550612341793	7.8264236274763075	4.287181442484828	-12.180818692481257	BRCA_LumB
TCGA-A1-A0SO-01	-31.991184773323326	-22.34383251750027	21.73456062024504	-8.410963707709529	-1.5200501943173559	-6.587109196868695	-9.972573444724564	-9.750155029919574	3.131577739729978	2.5596504192840097	BRCA_Basal
TCGA-A1-A0SP-01	-44.97230761103569	0.5763048470954185	10.088908674783504	4.580538740458478	-1.5858579040708949	-12.967536270754843	-4.524934218704794	5.330564650703549	4.440219121950583	-0.11400680497362448	BRCA_Basal
TCGA-A1-A0SQ-01	13.513251480535564	-15.176985944628761	-11.898897773037087	-1.7912003928543396	-5.930192849928056	-12.624093353286378	-21.840691703292073	-9.140242926150135	9.027831702678277	3.7531619108270595	BRCA_LumA
TCGA-A2-A04N-01	22.16159926285991	9.666850584906621	3.9766511335393186	5.9999232857683245	1.510177135629668	1.6925433445436708	12.260090285096911	5.894099328801527	-9.060236665632772	16.998965538272945	BRCA_LumA
TCGA-A2-A04P-01	-44.71149120236671	-18.731810642825963	1.4682493288497647	1.4646422443184473	-4.378854730957268	18.14620143443002	-6.459897974163805	-10.344318142384532	-9.892488599581675	4.076051260079823	BRCA_Basal
TCGA-A2-A04Q-01	-47.22255007962225	8.860984530658333	-12.662885923442138	-6.863646077917565	-3.833345079283865	7.4075662337752215	-12.126928193404957	4.403939604157405	-5.252080582743428	2.5611282328168996	BRCA_Basal
TCGA-A2-A04R-01	20.5676200744458	-18.465807918672137	2.775448053673422	-6.936284271421736	-4.7846938903539735	-14.630315847219498	-8.104747297566531	-3.7555780173491886	-9.440775073758585	14.162640272330428	BRCA_LumB
TCGA-A2-A04T-01	-49.10890545800984	-2.1307429500685626	18.87669096068936	-6.465634646285442	-6.738130343012172	-3.930482971946663	-3.6126217134008365	4.649280267625977	1.2491605263334549	-1.2896055673504108	BRCA_Basal
TCGA-A2-A04U-01	-39.09122573249705	-32.67800149010751	20.492034153125786	13.401353379404732	-5.160735556648327	-1.6832194962811924	-1.8877122298440707	-2.8225733037147878	-4.175643550248839	4.564719052899836	BRCA_Basal
TCGA-A2-A04V-01	20.488491291326092	-22.118768831480388	-0.6958644890169197	-0.6267085317801525	-6.5621463198676535	-3.7943402435479285	-7.269617532833715	9.24684893563377	-25.462000061137562	-1.2249162393987738	BRCA_LumA
TCGA-A2-A04W-01	-14.176881190036834	-22.019557857838798	-9.346445177311818	14.833309115402994	26.293980653933428	-0.3340466256914296	4.9138301226162975	-11.268219751720196	3.4706557252443355	1.6327481591687965	BRCA_Her2
TCGA-A2-A04X-01	-9.479776847088026	-3.882161259515162	-29.201609168054677	-15.837521233875075	4.510567005851902	9.017804510267723	-4.9427321006258165	-5.501587041856539	3.3973195508399545	6.27573571129404	BRCA_Her2
TCGA-A2-A04Y-01	5.9890868102198445	-2.4378211537491423	-4.082264569627658	-15.082756810872318	-6.759806293132686	8.92055740029621	5.315804546494518	-10.65934919632159	-9.412046249254056	-2.082516449362416	BRCA_LumB
TCGA-A2-A0CK-01	8.187262553631511	6.634867217331947	-7.0945115172517275	20.413335112676354	-21.024639686099565	-1.8720806542549495	-3.304261600367924	-1.8469334467064704	-7.727295023090172	-3.563928436566605	BRCA_LumA
TCGA-A2-A0CL-01	-15.590881625372923	36.18302071562613	-15.836616082343676	-20.329496439448636	-9.805164901631592	-3.7289192960393347	1.4595563628193051	-1.1822481547539567	-7.0403624632114346	-9.950453415334477	BRCA_Normal
TCGA-A2-A0CM-01	-48.028294451804236	4.3480245622263585	8.139794886043726	-17.528702540557948	0.09933010817737657	6.314518132562747	-1.9685641017968056	12.194986899760933	-6.035361018999337	3.9706350241773936	BRCA_Basal
TCGA-A2-A0CP-01	7.855965980599415	5.664821367473479	0.3724862620393515	22.073572661852094	-1.9714788438200421	-3.1190989477542903	4.209960163918987	0.19881888829008856	-11.875092414306343	11.75576181407925	BRCA_LumA
TCGA-A2-A0CQ-01	31.723354474991034	-19.275565571057253	5.93199077385557	3.590010067285175	-8.24396564661987	27.92739177476704	-0.8669180115022349	8.678650413735637	5.128731064943069	-3.0423324641993057	BRCA_LumA
TCGA-A2-A0CR-01	-17.490480820636424	16.957445661174965	-33.07282961017744	24.879036847164503	-22.976803517146795	9.235383303460605	3.3049145990929034	-1.23718081809641	-1.5167853945492915	-4.894384614613996	BRCA_LumA
TCGA-A2-A0CS-01	21.623419878991378	-26.70118884300527	-7.8487134839181465	20.708125229276416	9.173255466638436	4.902168445572337	-6.8683889800632025	19.81451260454005	6.0761405890592926	-7.757783322136749	BRCA_LumA
TCGA-A2-A0CT-01	8.750046758231615	-22.110355916233804	-3.4440537797387263	4.456649586623101	-1.7745167101717079	-23.983619296883365	0.62432849315544	-8.467837499259343	-2.448003149070839	1.9442779710263582	BRCA_LumA
TCGA-A2-A0CU-01	21.993713497070356	-6.911951821257374	6.548324448807304	2.6523613200493275	-14.13902819939919	-17.272912704581298	-2.4179270334574268	-2.654638245405959	-4.334785182111316	-7.823445429234107	BRCA_LumA
TCGA-A2-A0CV-01	1.430089364806648	15.032518271308263	-5.092873475835735	24.364675248378465	-0.9221725472495839	4.101632254139292	-6.04215343265864	2.3947632862066235	11.563244581436035	4.75355977387835	BRCA_LumA
TCGA-A2-A0CW-01	7.627180576366256	-10.915925948444734	-8.423136970300163	-14.015934751872507	-0.9514782110647806	-1.8046214706662242	19.0265211707513	-7.962836262404114	10.086870754191786	-6.362336973264286	BRCA_LumB
TCGA-A2-A0CX-01	-9.367971795466202	-14.405031287808063	-13.627490568586397	1.1558245570673922	24.39906680366377	1.1481523267481124	5.659263659173137	-7.939794260608314	-0.615371217573371	-2.42892334071722	BRCA_Her2
TCGA-A2-A0D0-01	-45.47360968766027	-31.097389706292166	12.380929573498605	5.461053461150345	-5.554495257457628	6.318074306953887	-1.6164347910938763	7.7947340212054685	-2.3798024507502102	-9.1468709161531	BRCA_Basal
TCGA-A2-A0D1-01	-6.856305154737559	-31.617689511694426	1.0144284007207807	-9.463799985662186	9.44675413573302	3.7026418854031795	7.606094300826449	-17.997663904332462	-7.037465353812333	-1.5667017980923386	BRCA_Her2
TCGA-A2-A0D2-01	-46.52246513562172	-2.535521099835139	7.689194912408806	-0.8878353066916516	-3.973867897531933	-1.094158270364081	-10.211168988241035	5.482889831757863	-6.18580241347255	2.950416990018566	BRCA_Basal
TCGA-A2-A0D3-01	16.646450543338037	6.796308613538787	-2.879118538752257	-2.464439860401203	0.2048077539334314	18.96139895117466	3.450589727474218	4.020804750876709	9.238387613033378	3.934084386896835	BRCA_LumA
TCGA-A2-A0D4-01	20.300766405974812	-23.501925477030905	-2.7068230092682195	-6.380221398816502	-8.752200560724955	-11.077900836164483	-4.6995177658439475	-18.600513549907834	-5.73810503191195	-1.3550326377895288	BRCA_LumB
TCGA-A2-A0EM-01	24.333338553278097	-6.41589498345144	3.905380789227775	13.523950442573417	5.771056797026188	3.788598255993546	-14.916492353918276	10.401929296083733	-0.08097052397969672	7.101168342895037	BRCA_LumA
TCGA-A2-A0EN-01	3.7835534935311594	23.891436807602243	-9.182032291543425	-0.3862800345587953	6.679194820561675	10.141590181135511	-7.028720923210505	3.3155606094716528	-11.013190121301617	-9.89570904179385	BRCA_LumA
TCGA-A2-A0EO-01	1.6892352200723322	11.79050353196151	-6.399989757322642	15.086879208834148	4.7719606161384105	-8.831438779124701	-14.205469284185094	3.861893566861937	-7.252689315416715	15.10375257939337	BRCA_LumA
TCGA-A2-A0EP-01	-9.574638037232791	32.452418283078444	-20.905322630049145	3.529720624263892	-5.680178084003776	7.7094933557426595	-3.083481309252723	4.769959387879843	-15.0529569325803	-22.634182007403044	BRCA_LumA
TCGA-A2-A0EQ-01	-20.849878456167243	4.130879358007621	-25.492622649632857	-21.777606889028586	0.05184420460723376	3.7750433384530617	-1.1177321397948532	-8.811111476092641	-6.0414517249154	-5.4283474551947855	BRCA_Her2
TCGA-A2-A0ER-01	20.720123679820315	-11.803391878413265	-6.810315047016778	-4.196078915856912	-10.101521802516285	-12.813560573748363	-15.989974212083645	1.3597717105853073	2.996293621143383	6.397104231595916	BRCA_LumA
TCGA-A2-A0ES-01	11.535993586413824	30.441711565142494	18.020179044260804	20.05132063840731	-2.2912730389712452	-4.613081570099696	-11.909815944836145	-9.583747884681667	1.1559887360476946	-5.946281122599753	BRCA_LumA
TCGA-A2-A0ET-01	22.69087537908981	-11.595205658883504	-6.189557682257775	-22.142153119228908	-14.10913218136057	1.696044446125534	-20.764631328615973	4.618887419401687	5.0442755546581175	-12.957078224718387	BRCA_LumA
TCGA-A2-A0EU-01	17.691752190546957	-4.034475385582288	3.873856108149961	1.494732571414006	-5.262726766222873	-13.438838898237014	9.002119117997928	5.213660884965618	-4.355622337271287	6.038959026975741	BRCA_LumA
TCGA-A2-A0EV-01	6.050408002843458	7.640920444445524	-11.328741763916751	-2.2723091387481262	10.904041985751926	-4.023115869793681	-3.383693170720202	5.275898235309833	-1.2979409172022487	5.499046054915093	BRCA_LumA
TCGA-A2-A0EW-01	13.101237693273108	36.133830373806205	10.39254335826451	15.518952387819567	0.8183124820324127	-1.4061460960702432	-11.755195336867716	-7.370854994789175	-4.489600439799389	-8.359313023279686	BRCA_LumA
TCGA-A2-A0EX-01	2.7208730401971644	5.69923910684989	-14.323072766838344	19.575509294358007	5.893953653604352	-12.503188146757564	-11.606877614725848	2.7499278619608343	-8.719708717018401	10.468976671427994	BRCA_LumA
TCGA-A2-A0EY-01	3.7448488419632158	14.108983467415207	-8.102730229247985	-8.891617052612979	13.887695256487335	12.440448248200745	15.643841275190331	-15.945745109710487	5.375245738147873	-6.8319614156371	BRCA_LumB
TCGA-A2-A0ST-01	-45.4865624245826	22.944380305710528	-10.994148857278027	-6.2881264706749	-10.35581935527222	5.313030904104874	-13.579715318164306	1.9429799663643739	2.8821886642240293	-1.6713701297040124	BRCA_Basal
TCGA-A2-A0SU-01	8.283207345489231	-1.105993156787643	-8.409614495149267	16.070359961383353	-2.3965373602667457	-13.500166992307253	-11.36870829387794	6.782168998379691	8.70220299040238	-5.045217611700793	BRCA_LumA
TCGA-A2-A0SV-01	3.9918480432724026	-20.526778437711354	-4.21135169906298	-2.1926701779882136	6.06422358264653	6.067792107819883	17.649538794417982	18.063424836626496	-3.290016125086575	-11.893343194102451	BRCA_LumB
TCGA-A2-A0SW-01	-16.800275263486423	-2.379159163399343	-31.838755492002345	-18.097211059079836	7.745880172682293	7.599158198210901	-9.46929703239791	-10.98840576497267	-1.6780693793847277	8.324965810208402	BRCA_LumB
TCGA-A2-A0SX-01	-43.61456565232999	30.90033161941236	11.585981721789425	-6.889150038534617	-2.7184577631335727	-0.6038058441410221	0.9373945248827669	7.305958411803292	2.476942490527858	-0.6062059275505614	BRCA_Basal
TCGA-A2-A0SY-01	6.017684738799027	18.09207931520609	-9.890883583939987	11.130970721928776	-0.7387790750076624	-2.0491195906112605	-7.8490315669619495	2.6101876192116933	-10.157707861268817	-2.729709027678531	BRCA_LumA
TCGA-A2-A0T0-01	-41.00172712821743	-21.58058465427773	14.755044079355049	3.212462954506685	6.664006351716731	1.1891732745959847	0.7750263261151942	2.7917294674327366	-4.248783745589521	3.1860397364191586	BRCA_Basal
TCGA-A2-A0T1-01	-24.824576418831274	4.688961432081198	-25.744576656544975	-8.026756177828307	12.798441089769112	6.154421168539224	0.3835173738467366	-3.833002651081771	-3.4227579822417584	-2.9111529875599573	BRCA_Her2
TCGA-A2-A0T2-01	-36.909520606356935	-34.64219906830991	13.341492299448822	9.707983245698294	1.1020453643862913	6.036013893402931	1.8675426420749612	-0.9612101700602464	-0.9172270928010036	-1.5729595347538643	BRCA_Basal
TCGA-A2-A0T3-01	13.508605780610722	0.9392421177932524	12.52716229093545	-2.5156563745175577	-0.05864142896858151	-12.260086618527154	0.8690294278041639	-5.9053876692984035	0.4732941957336786	-2.987919826820481	BRCA_LumB
TCGA-A2-A0T4-01	7.670342277603972	11.981233368734715	-12.33385526463112	10.780181114381618	-0.770444081400915	-16.533409082706488	-3.026675451932185	6.01792224300029	-5.44680658807387	-10.204660606359393	BRCA_LumA
TCGA-A2-A0T5-01	11.407524816798263	-2.6302594155493795	9.107444819067359	18.41419272227214	2.2722991155040253	-0.13206996081955075	1.9805592941427277	7.214581925269253	10.19479382891879	3.0200793661163705	BRCA_LumA
TCGA-A2-A0T6-01	9.038084764757746	31.765518974231878	-0.439461801168977	-1.32182792088528	11.316987226900414	0.4867750453562817	-7.097287490755977	10.33582373528184	-17.85459332836478	-4.362674031614473	BRCA_LumA
TCGA-A2-A0T7-01	1.0456396879816965	18.009764036946635	13.485868854772841	14.262182250832991	10.096082366513702	-10.154499712306698	16.070381498391086	0.3305227726155854	9.134334894253634	-5.388538747145742	BRCA_LumA
TCGA-A2-A0YC-01	28.233214887549813	5.568598275122375	-1.7677411396111287	-9.261747526826834	0.6185819665630394	4.5025038143682785	-7.015403636177823	11.77274214502504	0.5053879091760076	0.9264972202626337	BRCA_LumA
TCGA-A2-A0YD-01	14.503017177005473	28.262902114987693	1.9833252001294956	9.50868043767787	4.150363184324516	-0.8095081900603696	1.859209124008658	13.123295492611762	-0.5945702027544321	-5.9870347645123605	BRCA_LumA
TCGA-A2-A0YE-01	-35.89944285232374	-6.957494647517852	26.282859084973744	3.047254643720377	3.1091727673304224	-7.944880345803206	6.091981258443748	-2.061836169501438	4.802295311287171	6.226230304068742	BRCA_Basal
TCGA-A2-A0YF-01	22.20052351279841	-2.1876802402940343	-3.5579455082206044	-2.352347559986034	4.7736823600959974	2.1412202617245724	-16.963775883281127	-4.83108305451071	9.69397387675599	1.105092389219592	BRCA_LumA
TCGA-A2-A0YG-01	4.675175743111969	-4.688514975316158	-3.1419408796840544	-11.628573310486903	20.787429186565983	-1.8430146914473033	4.583844383461908	-15.431749621736012	12.0621533782439	-3.116490314634454	BRCA_LumB
TCGA-A2-A0YH-01	0.723083836885745	5.539289531752043	-18.909874686036623	-12.07116840820206	0.5233102985868155	-13.041384437521003	7.8252682563564075	9.057882285502613	3.001919423865605	9.403944785362832	BRCA_LumB
TCGA-A2-A0YI-01	11.717965321477216	33.027655645061714	-8.716227181578803	-5.921429672785898	-0.030059082891219616	6.690941678767024	-15.907249532304496	-1.376877194111005	8.967883169826553	4.719669382700366	BRCA_LumA
TCGA-A2-A0YJ-01	-41.63690938567317	-29.60931658431498	32.452247561719844	4.486343472119725	5.438413049406889	-4.478129546988273	0.11229207796925136	0.8120453366573123	2.73927150555931	12.249883818956016	BRCA_Basal
TCGA-A2-A0YK-01	-8.505093182946155	48.89114615117225	-0.7711712244582032	6.871559157861002	-3.2059227771069807	-0.4886769119322134	-11.339063822782059	-11.636176256134007	4.648143760701959	-11.183194790693834	BRCA_Normal
TCGA-A2-A0YL-01	6.396194005564324	30.71196192958937	8.016971072499986	18.675535554764583	0.17006743152007675	-5.5118868897024464	-5.251989454114002	0.11980801360358605	6.907815396892527	2.293925147467726	BRCA_LumA
TCGA-A2-A0YM-01	-44.29282155186499	1.0000165930387126	28.209571970330966	-4.326427756962994	-4.318224909385346	-7.315658806809299	6.118003569977402	13.21961032730896	9.503798281439247	-3.025120746642955	BRCA_Basal
TCGA-A2-A0YT-01	4.026291380623819	-15.006149072058795	-11.219004891414714	-7.152698349545918	2.128091984832839	-13.280830777372206	7.296366672201506	-6.78298279917875	4.9819756351325255	-4.370859356146942	BRCA_LumB
TCGA-A2-A1FV-01	29.470724856690516	-1.089529774126357	24.11431891500024	-7.72678776053205	-8.895734015769353	-9.274896001532081	-12.822678884228155	-15.979123025424135	-13.267888386482856	-6.038779927143902	BRCA_LumA
TCGA-A2-A1FW-01	14.55616713834867	7.837227071823221	3.132378832835129	-23.493112349681184	2.458660227940156	-16.058388999181517	-9.486977876725318	-21.112576385475453	-4.145082451869753	0.09919980855665066	BRCA_LumB
TCGA-A2-A1FX-01	22.192652361665594	2.183154004021442	4.751595457821183	-14.579808044034797	-15.34393610990861	-14.519702058952598	2.678988122744718	3.2244670645890614	-5.028162291530024	-4.387070455752794	BRCA_LumB
TCGA-A2-A1FZ-01	18.076200622667663	20.886624973321165	8.02045138662481	8.971475522339126	4.946828835655066	1.686481013286341	-5.0391473224500745	2.8898323148932645	-2.618819293342686	-2.3046362134306184	BRCA_LumA
TCGA-A2-A1G0-01	15.873785364109521	34.92317757552143	4.855271201862583	-3.3599789272225458	-10.950910384753936	-6.599559541910168	-11.274520964649554	-2.6363774589897586	-1.5336163124312108	13.587800931058204	BRCA_LumA
TCGA-A2-A1G1-01	-42.805205983114924	5.128537423870947	9.999173790572808	-15.160145176790955	13.554638210787681	-3.453084444936848	-8.912014605044805	11.148603112030877	-2.8725124315014368	3.8780910793206878	BRCA_Basal
TCGA-A2-A1G4-01	17.226209999324855	1.6878516104131973	-0.9306053733705469	-18.1976290056743	-8.310712399499707	-3.644036772679529	-8.538932286142197	-6.760933558235961	0.19800826198559032	11.630679682931703	BRCA_LumB
TCGA-A2-A1G6-01	-1.8848314139677433	34.35965944810116	13.36807137677003	24.005615031173964	-10.427839246380877	-6.680159031922639	-14.26125506244022	-13.680374279829136	4.55857208067073	6.139644698847189	BRCA_Normal
TCGA-A2-A259-01	11.6927772067043	28.424939379161774	3.2761734777373688	0.5603390211845035	-10.308841252412202	-7.54511364279371	-1.7808918246129473	3.370557441236376	-3.192885855331889	6.401023537563177	BRCA_LumA
TCGA-A2-A25A-01	4.91123077512429	37.46456120994187	8.69155208897429	11.755730955013131	-2.735530283203769	-1.0395176013826286	-5.422532530415915	-4.671145899500968	-0.14234573072244003	-1.5728561410117765	BRCA_Normal
